Start Date,Aantal Ritten,Huurtijd
2019-09-18,38387,680331.0
2019-09-19,37905,662751.0
2019-09-20,37274,723635.0
2019-09-21,36034,975980.0
2019-09-22,23871,551211.0
2019-09-23,30629,501215.0
2019-09-24,21274,315388.0
2019-09-25,32157,524350.0
2019-09-26,28656,485586.0
2019-09-27,29264,491197.0
2019-09-28,24657,551340.0
2019-09-29,15298,288227.0
2019-09-30,27472,451753.0
2019-10-01,24277,365864.0
2019-10-02,33562,619176.0
2019-10-03,32373,550311.0
2019-10-04,32011,545591.0
2019-10-05,26222,586147.0
2019-10-06,21447,470427.0
2019-10-07,28078,445648.0
2019-10-08,31492,491343.0
2019-10-09,34525,592860.0
2019-10-10,35283,606578.0
2019-10-11,24960,438621.0
2019-10-12,9924,178118.0
2019-10-13,15864,327962.0
2019-10-14,22284,336527.0
2019-10-15,33951,527080.0
2019-10-16,30493,487109.0
2019-10-17,29951,483421.0
2019-10-18,29385,483297.0
2019-10-19,25078,638668.0
2019-10-20,20297,464317.0
2019-10-21,24006,394967.0
2019-10-22,33426,570373.0
2019-10-23,31495,563943.0
2019-10-24,23267,389371.0
2019-10-25,28710,524979.0
2019-10-26,14260,280797.0
2019-10-27,21824,503362.0
2019-10-28,29926,472481.0
2019-10-29,30870,458455.0
2019-10-30,31897,551061.0
2019-10-31,30634,486312.0
2019-11-01,24866,416012.0
2019-11-02,14406,260013.0
2019-11-03,18147,391638.0
2019-11-04,28872,428324.0
2019-11-05,30658,445631.0
2019-11-06,30427,485553.0
2019-11-07,29936,467595.0
2019-11-08,25946,405093.0
2019-11-09,12189,235499.0
2019-11-10,18280,399084.0
2019-11-11,27817,415593.0
2019-11-12,27097,378285.0
2019-11-13,29365,449188.0
2019-11-14,28393,423644.0
2019-11-15,21151,320523.0
2019-11-16,18329,391312.0
2019-11-17,17858,375177.0
2019-11-18,28284,415071.0
2019-11-19,28446,398597.0
2019-11-20,29170,453513.0
2019-11-21,26844,391481.0
2019-11-22,24624,383587.0
2019-11-23,14755,280283.0
2019-11-24,15438,297222.0
2019-11-25,25483,367851.0
2019-11-26,26616,373408.0
2019-11-27,26319,400277.0
2019-11-28,25801,391666.0
2019-11-29,28177,481928.0
2019-11-30,17967,375728.0
2019-12-01,14075,252624.0
2019-12-02,27078,398940.0
2019-12-03,29338,425160.0
2019-12-04,29229,465773.0
2019-12-05,28311,448509.0
2019-12-06,21724,353826.0
2019-12-07,19045,370268.0
2019-12-08,14981,268161.0
2019-12-09,26848,389808.0
2019-12-10,23931,326407.0
2019-12-11,27172,420861.0
2019-12-12,19561,286531.0
2019-12-13,22967,375822.0
2019-12-14,14712,268832.0
2019-12-15,13921,261831.0
2019-12-16,24109,356491.0
2019-12-17,19513,261423.0
2019-12-18,24533,369008.0
2019-12-19,21475,326836.0
2019-12-20,14305,225279.0
2019-12-21,9274,168360.0
2019-12-22,10262,208864.0
2019-12-23,15704,270036.0
2019-12-24,10273,175291.0
2019-12-25,34116,1668325.0
2019-12-26,5583,161660.0
2019-12-27,11565,280320.0
2019-12-28,11273,248514.0
2019-12-29,12106,288374.0
2019-12-30,15971,347858.0
2019-12-31,12537,224387.0
